foodId,brandName,productName,petType,imageUrl,purchaseUrl
11,로얄캐닌(Royal Canin),시츄 어덜트 건사료,DOG,https://marspetcareaprimocdn.petcare.global/0fbdec32-d976-4e88-96c3-b37701448293/0fbdec32-d976-4e88-96c3-b37701448293_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EC%8B%9C%EC%B8%84%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C
12,로얄캐닌(Royal Canin),푸들 어덜트 건사료,DOG,https://marspetcareaprimocdn.petcare.global/1fd32d8e-c2fb-4280-bfc1-b24900075f52/1fd32d8e-c2fb-4280-bfc1-b24900075f52_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%ED%91%B8%EB%93%A4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C
13,로얄캐닌(Royal Canin),미니어처 슈나우저 퍼피 건사료,DOG,https://marspetcareaprimocdn.petcare.global/cfe273dd-ebae-42be-b098-b2490008073f/cfe273dd-ebae-42be-b098-b2490008073f_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%AF%B8%EB%8B%88%EC%96%B4%EC%B2%98%20%EC%8A%88%EB%82%98%EC%9A%B0%EC%A0%80%20%ED%8D%BC%ED%94%BC%20%EA%B1%B4%EC%82%AC%EB%A3%8C
14,로얄캐닌(Royal Canin),치와와 퍼피 건사료,DOG,https://marspetcareaprimocdn.petcare.global/eed2769a-2ecf-4e13-a954-b3770141ad26/eed2769a-2ecf-4e13-a954-b3770141ad26_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EC%B9%98%EC%99%80%EC%99%80%20%ED%8D%BC%ED%94%BC%20%EA%B1%B4%EC%82%AC%EB%A3%8C
15,로얄캐닌(Royal Canin),푸들 퍼피 건사료,DOG,https://marspetcareaprimocdn.petcare.global/d939c1a5-05dc-43d8-a849-b24900080764/d939c1a5-05dc-43d8-a849-b24900080764_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%ED%91%B8%EB%93%A4%20%ED%8D%BC%ED%94%BC%20%EA%B1%B4%EC%82%AC%EB%A3%8C
16,로얄캐닌(Royal Canin),요크셔테리어 어덜트 건사료,DOG,https://marspetcareaprimocdn.petcare.global/f9741fb2-3889-44a1-a22c-b24900075fed/f9741fb2-3889-44a1-a22c-b24900075fed_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EC%9A%94%ED%81%AC%EC%85%94%ED%85%8C%EB%A6%AC%EC%96%B4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C
17,로얄캐닌(Royal Canin),미니 어덜트 파우치 (소형견 습식),DOG,https://marspetcareaprimocdn.petcare.global/8f0c669d-0b39-48d1-8f41-b249000956c1/8f0c669d-0b39-48d1-8f41-b249000956c1_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%AF%B8%EB%8B%88%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%ED%8C%8C%EC%9A%B0%EC%B9%98%20%28%EC%86%8C%ED%98%95%EA%B2%AC%20%EC%8A%B5%EC%8B%9D%29
18,로얄캐닌(Royal Canin),미니 덴탈 케어 건사료 (소형견 치아케어),DOG,https://marspetcareaprimocdn.petcare.global/5582154c-1315-4ca5-8203-b1ef0012e300/5582154c-1315-4ca5-8203-b1ef0012e300_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%AF%B8%EB%8B%88%20%EB%8D%B4%ED%83%88%20%EC%BC%80%EC%96%B4%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%86%8C%ED%98%95%EA%B2%AC%20%EC%B9%98%EC%95%84%EC%BC%80%EC%96%B4%29
19,힐스(Hill's Science Diet),어덜트 스몰 앤 미니 건사료 (치킨 & 현미),DOG,https://pxmshare.colgatepalmolive.com/PNG_500/qbwNESLIaLCc-MXMAQrxm.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%8A%A4%EB%AA%B0%20%EC%95%A4%20%EB%AF%B8%EB%8B%88%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%B9%98%ED%82%A8%20%26%20%ED%98%84%EB%AF%B8%29
20,힐스(Hill's Science Diet),어덜트 스몰 바이트 건사료 (치킨 & 보리),DOG,https://pxmshare.colgatepalmolive.com/PNG_500/X6hnJNkXlKozcpey-P9Ac.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%8A%A4%EB%AA%B0%20%EB%B0%94%EC%9D%B4%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%B9%98%ED%82%A8%20%26%20%EB%B3%B4%EB%A6%AC%29
21,힐스(Hill's Science Diet),어덜트 라지 브리드 건사료 (치킨 & 보리),DOG,https://pxmshare.colgatepalmolive.com/PNG_500/gLqRdbhSl4SiDj58bfAha.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EB%9D%BC%EC%A7%80%20%EB%B8%8C%EB%A6%AC%EB%93%9C%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%B9%98%ED%82%A8%20%26%20%EB%B3%B4%EB%A6%AC%29
22,힐스(Hill's Science Diet),어덜트 라이트 스몰 앤 미니 건사료 (치킨밀 & 보리 & 현미),DOG,https://pxmshare.colgatepalmolive.com/PNG_500/QTT4roFJncZc8FaIxf4_1.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EB%9D%BC%EC%9D%B4%ED%8A%B8%20%EC%8A%A4%EB%AA%B0%20%EC%95%A4%20%EB%AF%B8%EB%8B%88%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%B9%98%ED%82%A8%EB%B0%80%20%26%20%EB%B3%B4%EB%A6%AC%20%26%20%ED%98%84%EB%AF%B8%29
23,힐스(Hill's Science Diet),어덜트 라이트 스몰 바이트 건사료 (치킨밀 & 보리),DOG,https://pxmshare.colgatepalmolive.com/PNG_500/jQK5valJCci6fYoSqHPZj.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EB%9D%BC%EC%9D%B4%ED%8A%B8%20%EC%8A%A4%EB%AA%B0%20%EB%B0%94%EC%9D%B4%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%B9%98%ED%82%A8%EB%B0%80%20%26%20%EB%B3%B4%EB%A6%AC%29
24,힐스(Hill's Science Diet),"어덜트 6+ 라지 브리드 건사료 (치킨밀, 보리 & 쌀)",DOG,https://pxmshare.colgatepalmolive.com/PNG_500/jccWtESrAhpnWU1rGKyUm.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%206%2B%20%EB%9D%BC%EC%A7%80%20%EB%B8%8C%EB%A6%AC%EB%93%9C%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%B9%98%ED%82%A8%EB%B0%80%2C%20%EB%B3%B4%EB%A6%AC%20%26%20%EC%8C%80%29
25,힐스(Hill's Science Diet),"어덜트 7+ 스몰 바이트 건사료 (치킨, 밀, 보리)",DOG,https://pxmshare.colgatepalmolive.com/PNG_500/gJTYsDOqtFTnRkk7-CN1s.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%207%2B%20%EC%8A%A4%EB%AA%B0%20%EB%B0%94%EC%9D%B4%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%B9%98%ED%82%A8%2C%20%EB%B0%80%2C%20%EB%B3%B4%EB%A6%AC%29
26,힐스(Hill's Science Diet),"어덜트 11+ 스몰 앤 미니 건사료 (치킨, 현미 & 보리)",DOG,https://pxmshare.colgatepalmolive.com/PNG_500/1ReOE85Caat8wb2cam5_H.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%2011%2B%20%EC%8A%A4%EB%AA%B0%20%EC%95%A4%20%EB%AF%B8%EB%8B%88%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%B9%98%ED%82%A8%2C%20%ED%98%84%EB%AF%B8%20%26%20%EB%B3%B4%EB%A6%AC%29
27,힐스(Hill's Science Diet),어덜트 퍼펙트 웨이트 & 조인트 서포트 건사료 (치킨 & 현미),DOG,https://pxmshare.colgatepalmolive.com/PNG_500/lXsT2VhUcHkWgcxcpO6Yo.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%ED%8D%BC%ED%8E%99%ED%8A%B8%20%EC%9B%A8%EC%9D%B4%ED%8A%B8%20%26%20%EC%A1%B0%EC%9D%B8%ED%8A%B8%20%EC%84%9C%ED%8F%AC%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%B9%98%ED%82%A8%20%26%20%ED%98%84%EB%AF%B8%29
28,힐스(Hill's Science Diet),어덜트 센서티브 스토막 & 스킨 스몰 & 미니 건사료 (치킨),DOG,https://pxmshare.colgatepalmolive.com/PNG_500/EFw9hkflwIU75VzyW-vrP.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%84%BC%EC%84%9C%ED%8B%B0%EB%B8%8C%20%EC%8A%A4%ED%86%A0%EB%A7%89%20%26%20%EC%8A%A4%ED%82%A8%20%EC%8A%A4%EB%AA%B0%20%26%20%EB%AF%B8%EB%8B%88%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%B9%98%ED%82%A8%29
29,힐스(Hill's Science Diet),"어덜트 퍼펙트 다이제스천 건사료 (연어, 통귀리, 현미)",DOG,https://pxmshare.colgatepalmolive.com/PNG_500/zA5wB-yN2IPU_d_Y5CQn5.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%ED%8D%BC%ED%8E%99%ED%8A%B8%20%EB%8B%A4%EC%9D%B4%EC%A0%9C%EC%8A%A4%EC%B2%9C%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%97%B0%EC%96%B4%2C%20%ED%86%B5%EA%B7%80%EB%A6%AC%2C%20%ED%98%84%EB%AF%B8%29
30,힐스(Hill's Science Diet),퍼피 스몰 & 미니 건사료 (치킨 & 현미),DOG,https://pxmshare.colgatepalmolive.com/PNG_500/o7QqtQTWeITZC4EF2Li_s.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%20%ED%8D%BC%ED%94%BC%20%EC%8A%A4%EB%AA%B0%20%26%20%EB%AF%B8%EB%8B%88%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%B9%98%ED%82%A8%20%26%20%ED%98%84%EB%AF%B8%29
31,힐스(Hill's Science Diet),퍼피 라지 브리드 건사료 (치킨 & 현미),DOG,https://pxmshare.colgatepalmolive.com/PNG_500/ZiCkR8ROEN0nmLFsym3JO.png,https://search.shopping.naver.com/search/all?query=%ED%9E%90%EC%8A%A4%20%ED%8D%BC%ED%94%BC%20%EB%9D%BC%EC%A7%80%20%EB%B8%8C%EB%A6%AC%EB%93%9C%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%B9%98%ED%82%A8%20%26%20%ED%98%84%EB%AF%B8%29
32,퓨리나 프로플랜(Purina Pro Plan),어덜트 치킨앤라이스 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%ED%93%A8%EB%A6%AC%EB%82%98%20%ED%94%84%EB%A1%9C%ED%94%8C%EB%9E%9C%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%B9%98%ED%82%A8%EC%95%A4%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EA%B1%B4%EC%82%AC%EB%A3%8C
33,퓨리나 프로플랜(Purina Pro Plan),어덜트 살몬앤라이스 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%ED%93%A8%EB%A6%AC%EB%82%98%20%ED%94%84%EB%A1%9C%ED%94%8C%EB%9E%9C%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%82%B4%EB%AA%AC%EC%95%A4%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EA%B1%B4%EC%82%AC%EB%A3%8C
